Technology,Parameter,2020,2025,2030,2035,2040,2045,2050
Wind,Capex,0.08,0.15,0.2,0.23,0.25,0.27,0.28
Wind,Opex,0.08,0.16,0.2,0.24,0.24,0.28,0.28
Solar PV,Capex,0.45,0.55,0.63,0.68,0.68,0.74,0.76
Solar PV,Opex,0.35,0.46,0.54,0.6,0.6,0.68,0.71
Bioenergy,Capex,0.15,0.21,0.26,0.32,0.32,0.38,0.41
Bioenergy,Opex,0.15,0.21,0.26,0.32,0.32,0.38,0.41
Hydro,Capex,0,0,0,0,0,0,0
Hydro,Opex,0,0,0,0,0,0,0
Geothermal,Capex,0.05,0.1,0.15,0.19,0.19,0.27,0.31
Geothermal,Opex,0,0,0,0,0,0,0
Coal,Capex,0,0,0,0,0,0,0
Coal,Opex,0,0,0,0,0,0,0
Oil and Gas,Capex,0,0,0,0,0,0,0
Oil and Gas,Opex,0,0,0,0,0,0,0
Energy Storage,Capex,0.33,0.55,0.67,0.73,0.77,0.81,0.83
Energy Storage,Opex,0.63,0.79,0.84,0.88,0.9,0.91,0.92
