Passenger car ownership (passenger cars per 1 000 inhabitants),,,,Passenger cars stock,,,,Population,,,,
ctr,1995,2005,2007,2009,1995,2005,2007,2009,1995,2005,2007,2009
Luxembourg,711,688,696,700,288348,317211,331223,345236,406,461,476,494
Italy,529,593,599,603,30095699,34654962,35417303,36179643,56844,58462,59131,60045
Malta,490,528,545,561,180851,212642,222119,232013,369,403,408,414
Germany,417,531,541,551,33995614,43844313,44533683,45223052,81539,82501,82315,82002
Cyprus,399,556,548,548,257314,416758,426876,436948,645,749,779,797
Austria,423,507,517,528,3362604,4156738,4283532,4410326,7943,8201,8283,8355
Switzerland,460,519,521,516,3229166,3846085,3908308,3970530,7019,7415,7509,7702
France,421,479,484,490,24999145,30074344,30817127,31559910,59315,62773,63623,64367
Slovenia,350,469,478,485,696460,936267,961223,986179,1989,1998,2010,2032
Finland,372,461,473,484,1898191,2414070,2496651,2579233,5099,5237,5277,5326
Sweden,412,458,471,481,3630886,4130366,4293138,4455910,8816,9011,9113,9256
Spain,361,471,472,474,14211916,20250464,20993460,21736456,39343,43038,44475,45828
Lithuania,197,425,449,473,718470,1455165,1519002,1582838,3643,3425,3385,3350
Belgium,422,465,469,471,4273072,4860971,4961562,5062153,10131,10446,10585,10750
United Kingdom,354,448,456,463,20526377,26890772,27694004,28497236,57943,60060,60781,61596
Norway,384,435,447,454,1669164,2003057,2090795,2178533,4348,4606,4681,4799
Netherlands,367,439,445,449,5664005,7152178,7275957,7399737,15424,16306,16358,16486
Estonia,316,387,412,436,457042,520843,552474,584104,1448,1348,1342,1340
Ireland,275,410,417,430,990375,1684031,1797710,1911389,3598,4109,4313,4450
Greece,235,409,414,419,2492172,4530963,4624830,4718696,10595,11083,11172,11260
Denmark,332,372,380,386,1729338,2013037,2070319,2127601,5216,5411,5447,5506
Bulgaria,187,311,348,386,1574416,2417251,2675701,2934152,8427,7761,7679,7607
Czech Republic,294,373,382,386,3034461,3817019,3927115,4037211,10333,10221,10287,10468
Latvia,133,320,339,357,332153,738699,772850,807001,2501,2306,2281,2261
Portugal,252,350,352,355,2520535,3680074,3728382,3776690,10018,10529,10599,10627
Poland,195,313,328,342,7517260,11963408,12494111,13024815,38581,38174,38125,38136
Hungary,160,270,282,294,1658229,2723837,2834001,2944165,10337,10098,10066,10031
Slovakia,179,233,239,244,958900,1252049,1286700,1321351,5356,5385,5394,5412
Romania,92,147,163,180,2091454,3182940,3506192,3860190,22712,21659,21565,21499
