,residential space weekday,residential space weekend,services space weekday,services space weekend,residential water weekday,residential water weekend,services water weekday,services water weekend
0,0.997244632,0.997244632,0.997244632,0.997244632,1.0,1.0,1.0,1.0
1,1.012675902,1.012675902,1.012675902,1.012675902,1.0,1.0,1.0,1.0
2,1.015879447,1.015879447,1.015879447,1.015879447,1.0,1.0,1.0,1.0
3,1.010765676,1.010765676,1.010765676,1.010765676,1.0,1.0,1.0,1.0
4,1.011188438,1.011188438,1.011188438,1.011188438,1.0,1.0,1.0,1.0
5,1.031789189,1.031789189,1.031789189,1.031789189,1.0,1.0,1.0,1.0
6,1.074739407,1.074739407,1.074739407,1.074739407,1.0,1.0,1.0,1.0
7,1.101617499,1.101617499,1.101617499,1.101617499,1.0,1.0,1.0,1.0
8,1.105359242,1.105359242,1.105359242,1.105359242,1.0,1.0,1.0,1.0
9,1.083165599,1.083165599,1.083165599,1.083165599,1.0,1.0,1.0,1.0
10,1.043839148,1.043839148,1.043839148,1.043839148,1.0,1.0,1.0,1.0
11,1.005706506,1.005706506,1.005706506,1.005706506,1.0,1.0,1.0,1.0
12,0.967625742,0.967625742,0.967625742,0.967625742,1.0,1.0,1.0,1.0
13,0.927169478,0.927169478,0.927169478,0.927169478,1.0,1.0,1.0,1.0
14,0.898209898,0.898209898,0.898209898,0.898209898,1.0,1.0,1.0,1.0
15,0.895691219,0.895691219,0.895691219,0.895691219,1.0,1.0,1.0,1.0
16,0.938954533,0.938954533,0.938954533,0.938954533,1.0,1.0,1.0,1.0
17,1.018606413,1.018606413,1.018606413,1.018606413,1.0,1.0,1.0,1.0
18,1.033534142,1.033534142,1.033534142,1.033534142,1.0,1.0,1.0,1.0
19,0.980349542,0.980349542,0.980349542,0.980349542,1.0,1.0,1.0,1.0
20,0.943274961,0.943274961,0.943274961,0.943274961,1.0,1.0,1.0,1.0
21,0.957762077,0.957762077,0.957762077,0.957762077,1.0,1.0,1.0,1.0
22,0.975039406,0.975039406,0.975039406,0.975039406,1.0,1.0,1.0,1.0
23,0.972567273,0.972567273,0.972567273,0.972567273,1.0,1.0,1.0,1.0
