MWh/tMaterial,Electric arc,DRI + Electric arc,Integrated steelworks,HVC,HVC (mechanical recycling),HVC (chemical recycling),Ammonia,Chlorine,Methanol,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors
elec,1.0813101126320095,1.4033101126320096,1.020812900657118,2.851718022375637,0.547,6.9,1.17,3.6,0.167,4.594134676492993,2.745714549009331,0.06192756076026593,0.4441311822746483,2.0712931368257848,1.1883656334283423,0.671816951975397,2.5843384508573637,0.6095793129245352,1.7148611860778022,13.668277963576806,1.706798636253157,3.218702082688453,0.26360808307069045,0.3023211039038526,0.4657093681294194,0.9592993916612763,1.283922307621552
coal,0.0,0.0,1.3770042858681404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coke,0.0,0.0,1.3117900264012818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1970144296943468,0.0,0.0,2.1177026334169127,2.3556399768380962,0.0,0.6390970114947211,0.0,0.0,0.0,0.0,0.06379171115594715,0.046328443575653,0.25434164393245,1.8191761274794713,0.38573991236889893
methane,0.22647645142596962,0.22647645142596962,0.2237262565677254,4.070192980659759,0.0,0.0,0.0,0.0,10.25,0.0,0.0,0.5179195144821294,0.0,0.0,0.0,0.0,0.0,0.0,2.338493731000862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.0,1.7,0.0,0.00017266107692307694,0.0,0.0,6.5,-0.9372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,0.0030178609567653556,0.0030178609567653556,0.005250701955934626,0.24666006268391757,0.0,0.0,0.0,0.0,0.0,0.1450437162420203,0.09383495275994215,0.002137249780592813,0.0024994875198591938,0.017944882377285205,0.03995402072519353,0.03386441536948941,0.7267582057770183,0.026536577121054936,0.0031548053237296938,0.010242405894814765,0.0021318127236073688,0.0034740960219325576,0.010264108163451942,0.010450031028829005,0.060237643860527885,0.05856776511442199,0.04251361605322414
naphtha,0.0,0.0,0.0,14.007836447394103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process emission,0.027663169349199112,0.027663169349199112,0.21638852516648752,0.024489586623068906,0.0,0.0,0.0,0.0,0.0,6.867214296422115e-05,0.0,0.5424332172798352,0.031681531903838586,0.10255147041670938,0.0,0.0,0.0,0.0,0.0,1.491345857963863,0.0,0.16996666191268836,0.0,0.0,0.0,0.0,0.0
process emission from feedstock,0.0,0.0,0.0,0.49038461538461536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
