Ano;UF Instalação;Munícípio;Complexo Portuário;"Total de Movimentação Portuária
em toneladas (t)";"Total de Movimentação Contêineres (Bruto)
(u) Unidades"
2023;MA;São Luís;Itaqui;14.349.837,4;0
2023;SP;Santos;Santos;6.928.267,3;108.363
2023;RJ;Angra dos Reis;Angra dos Reis;6.342.797,2;0
2023;ES;Vitória;Vitória;5.853.498,;0
2023;SP;São Sebastião;São Sebastião;4.912.223,5;0
2023;RJ;Itaguaí;Itaguaí;4.726.765,5;4.821
2023;PR;Paranaguá;Paranaguá - Antonina;4.153.936,7;46.562
2023;SP;Guarujá;Santos;2.875.381,;80.378
2023;RS;Rio Grande;Rio Grande;2.856.361,8;27.506
2023;RJ;São João da Barra;Não Classificado;2.646.969,2;0
2023;PA;Barcarena;Vila do Conde - Belém;2.474.337,6;1.148
2023;PE;Ipojuca;Suape - Recife;2.272.415,1;25.279
2023;RJ;Rio de Janeiro;Rio de Janeiro -  Niterói;2.242.066,1;32.507
2023;SC;São Francisco do Sul;São Francisco do Sul;2.133.319,3;0
2023;BA;Madre de Deus;Aratu - Salvador;1.768.894,7;0
2023;RJ;São João da Barra;São João da Barra;1.516.426,8;0
2023;AM;Manaus;Manaus;1.375.337,9;38.810
2023;CE;São Gonçalo do Amarante;Pecém - Fortaleza;1.233.282,5;16.975
2023;SC;Navegantes;Itajaí;1.126.028,4;54.217
2023;RJ;Mangaratiba;Itaguaí;1.064.772,;0
2023;AM;Itacoatiara;Manaus;1.016.059,2;0
2023;PA;Santarém;Santarém;875.757,3;56
2023;RS;Osório;Porto Alegre;823.150,;0
2023;SC;Itapoá;São Francisco do Sul;816.775,3;42.738
2023;ES;Anchieta;Vitória;748.606,;0
2023;PA;Oriximiná;Óbidos;714.556,;0
2023;ES;Aracruz;Barra do Riacho;706.496,6;0
2023;RJ;Rio de Janeiro;Itaguaí;684.541,9;0
2023;PA;Itaituba;Itaituba;683.978,4;0
2023;BA;Salvador;Aratu - Salvador;661.227,1;15.676
2023;RO;Porto Velho;Porto Velho;555.169,1;659
2023;BA;Candeias;Aratu - Salvador;544.273,5;0
2023;PA;Juruti;Óbidos;543.607,;0
2023;SC;Imbituba;Imbituba;514.497,5;3.115
2023;ES;Vila Velha;Vitória;448.091,7;11.105
2023;PA;Belém;Vila do Conde - Belém;388.187,8;8
2023;CE;Fortaleza;Pecém - Fortaleza;382.055,6;2.399
2023;AL;Maceió;Maceió;296.543,7;0
2023;AP;Santana;Macapá;272.227,4;0
2023;PA;Itaituba;Não Classificado;244.142,5;0
2023;RN;Guamaré;Natal;200.336,5;0
2023;RS;Guaíba;Porto Alegre;164.451,5;0
2023;PE;Recife;Suape - Recife;142.919,;0
2023;SC;São Cristovão do Sul;São Francisco do Sul;141.222,6;0
2023;RS;Canoas;Porto Alegre;134.528,4;0
2023;AM;Manaus;Não Classificado;117.106,;0
2023;BA;Belmonte;Ilhéus;115.872,;0
2023;SP;Cubatão;Santos;114.591,7;0
2023;RS;Pelotas;Rio Grande;102.672,4;0
2023;RO;Porto Velho;Não Classificado;99.681,1;0
2023;PB;Cabedelo;Cabedelo (Instalação Isolada);94.991,8;0
2023;MS;Ladário;Corumbá;88.407,;0
2023;AM;Coari;Coari (Instalação Isolada);84.153,1;0
2023;MS;Corumbá;Corumbá;83.806,;0
2023;RN;Mossoró;Não Classificado;78.139,5;0
2023;RS;Triunfo;Porto Alegre;70.639,7;2.092
2023;RN;Natal;Natal;64.549,9;2.550
2023;SE;Barra dos Coqueiros;Aracajú;64.362,;0
2023;RN;Macau;Não Classificado;57.208,9;0
2023;AM;Humaitá;Não Classificado;44.000,5;0
2023;BA;Ilhéus;Ilhéus;41.317,;0
2023;ES;Serra;Vitória;41.178,9;0
2023;RS;Porto Alegre;Porto Alegre;39.837,9;0
2023;RS;Porto Alegre;Não Classificado;37.378,4;0
2023;PA;Belém;Não Classificado;33.954,7;0
2023;ES;São Mateus;Barra do Riacho;26.758,7;0
2023;PR;Antonina;Paranaguá - Antonina;23.315,3;0
2023;GO;São Simão;São Simão;22.145,6;0
2023;PA;Santarém;Não Classificado;20.160,5;0
2023;SC;Itajaí;Itajaí;17.552,3;0
2023;RS;Charqueadas;Porto Alegre;11.300,;0
2023;RJ;Duque de Caxias;Rio de Janeiro -  Niterói;9.728,8;0
2023;AP;Santana;Não Classificado;9.490,8;0
2023;PA;Acará;Tomé Açu;5.914,6;0
2023;PA;Vitória do Xingu;Vitória do Xingu;3.022,2;0
2023;RR;Caracaraí;Não Classificado;2.983,9;0
2023;RJ;Niterói;Rio de Janeiro -  Niterói;2.237,3;0
2023;PA;Almeirim;Não Classificado;2.201,1;0
2023;PA;Ananindeua;Não Classificado;1.861,2;0
2023;RJ;Rio de Janeiro;Não Classificado;88,;0
2023;AC;Cruzeiro do Sul;Não Classificado;,;0
2023;PA;Oriximiná;Não Classificado;,;0
