Generator,p_nom_max
MA001001 onwind,22730.2055337572
MA001002 onwind,14106.069590784726
MA001003 onwind,2824.9842125649834
MA001004 onwind,19632.65513591869
MA001005 onwind,14049.283603762105
MA002001 onwind,5592.951388253823
MA002002 onwind,11214.642344799247
MA002008 onwind,8446.675429634624
MA002009 onwind,19689.826292872014
MA003002 onwind,2870.946068322889
MA003003 onwind,16902.69940498872
MA003005 onwind,2906.3003397278617
MA004002 onwind,2767.277184012226
MA004003 onwind,5573.638341772798
MA004004 onwind,5583.294865013323
MA004005 onwind,19603.91583026019
MA004006 onwind,2767.2771840122323
MA004007 onwind,16681.983322726628
MA004008 onwind,8291.946624149468
MA004009 onwind,16544.20234542151
MA005001 onwind,50135.712131429245
MA005002 onwind,14659.821017846738
MA005003 onwind,5897.397442260365
MA005004 onwind,2923.500371217213
MA006001 onwind,8576.615940083568
MA006002 onwind,17153.153419126997
MA006003 onwind,8558.308904914338
MA006004 onwind,5687.206164384817
MA006005 onwind,11337.252294508948
MA006006 onwind,14162.236507073882
MA006007 onwind,5677.935582068172
MA006008 onwind,11327.904007198114
MA007001 onwind,5504.823988698512
MA007002 onwind,2747.431732573508
MA007003 onwind,5484.827619000501
MA007004 onwind,5668.587294757401
MA007005 onwind,16613.320431977612
MA007006 onwind,8291.946624149463
MA007007 onwind,2747.4317325735155
MA007008 onwind,11049.338880274467
MA008003 onwind,2777.0862452384504
MA008004 onwind,8281.986100597967
MA008005 onwind,11147.20028113817
MA008006 onwind,5514.78451225002
MA008007 onwind,2767.2771840122386
MA009004 onwind,23092.258861626906
MA009005 onwind,40695.328969814174
MA009006 onwind,2906.300339727865
MA010001 onwind,10969.655238001022
MA010002 onwind,8202.076765673672
MA010003 onwind,2717.099328943058
MA010004 onwind,2737.3958864270066
MA010007 onwind,2747.4317325735033
MA011001 onwind,11827.747180750855
