name,number cars,average fuel efficiency
MAR.10_1,789030.14300841,0.7464642087952883
MAR.11_1,888742.9097644725,0.7464642087952883
MAR.12_1,2506285.933453344,0.7464642087952883
MAR.13_1,583471.7566840786,0.7464642087952883
MAR.14_1,1731931.2955693845,0.7464642087952883
MAR.15_1,666397.9035476245,0.7464642087952883
MAR.1_1,3707655.927965689,0.7464642087952883
MAR.2_1,732672.8257538147,0.7464642087952883
MAR.3_1,2391154.6024242826,0.7464642087952883
MAR.4_1,720203.1913254347,0.7464642087952883
MAR.5_1,676436.3909591335,0.7464642087952883
MAR.6_1,159561.8415163957,0.7464642087952883
MAR.8_1,2655458.5892516845,0.7464642087952883
MAR.9_1,4067996.6887762356,0.7464642087952883
