name,total,urban,rural,ct,fraction
AL0 0,2635.173759583549,1443.2479809622716,1358.6560277460715,AL,1.0
AT0 0,8023.38951330582,4956.810287151438,2902.897366783931,AT,1.0
BA0 0,3833.40719383725,1580.7233442272995,2289.660444649043,BA,1.0
BE0 0,11040.379911974054,10474.35251385295,468.5262370678217,BE,1.0
BG0 0,7353.491473454609,5358.430904760383,1934.1367579118948,BG,1.0
CH0 0,7856.840454396591,6402.974709240396,1893.0064353163443,CH,1.0
CZ0 0,10364.87399259017,7446.591067335216,2950.4830925465617,CZ,1.0
DE0 0,80099.68460956862,61072.40656363907,19493.02889005377,DE,1.0
DK0 0,2577.955399512581,2874.8611284986646,315.72232853993927,DK,0.6519886813473524
DK3 0,1376.032565715842,1459.0611519989723,51.30098110436328,DK,0.3480113186526475
EE6 0,1160.2011788080742,828.1317567185995,388.7118094061335,EE,1.0
ES0 0,41384.36910688025,34310.596193429665,8477.924297092088,ES,0.9859880126376546
ES2 0,588.117958323851,486.04527470092074,23.19341974700656,ES,0.014011987362345529
FI3 0,5123.887255756913,4382.289459551324,888.700049943631,FI,1.0
FR0 0,62281.68767569086,50263.10573646698,12248.310724707806,FR,1.0
GB4 0,1664.168037536058,721.038888474329,992.23455324472,GB,0.02757173459339307
GB5 0,58693.588268983636,51660.84838427313,8899.8703458626,GB,0.9724282654066069
GR0 0,8244.06980649313,7639.997593136896,1814.3568040074895,GR,1.0
HR0 0,3859.650481672047,2465.445675276214,1520.9033458513632,HR,1.0
HU0 0,9865.215773941416,7000.696661994999,2885.5189925079494,HU,1.0
IE4 0,4189.2653381556,2850.5224134903815,1459.4294176044627,IE,1.0
IT0 0,53556.22707447589,40852.06391461849,15420.306814025458,IT,0.9727949750450332
IT1 0,1497.7446753233255,0.0,1488.5168963983888,IT,0.027205024954966812
LT6 0,2801.1587653875476,1979.77946613565,905.107846146374,LT,1.0
LU0 0,593.1354589088971,602.3268734339433,41.62161927339633,LU,1.0
LV6 0,1812.3956820922594,1226.6229330887527,623.2121223634266,LV,1.0
ME0 0,699.4543134167045,319.2004230317933,329.83967140230976,ME,1.0
MK0 0,2023.2454827985093,1022.0717623512519,1059.554909825084,MK,1.0
NL0 0,15310.853061190504,14841.510133155938,1225.5517003591913,NL,1.0
NO3 0,4622.820396278399,3864.5011503417654,903.7306335323568,NO,1.0
PL0 0,37758.701136676544,23355.602884665364,14829.346946161673,PL,1.0
PT0 0,8727.483005369804,5842.545535195698,3356.8198115721384,PT,1.0
RO0 0,19501.329106224224,11016.37052036802,8711.465469405031,RO,1.0
RS0 0,7122.180381712804,4080.99689118308,3121.180103337789,RS,1.0
SE3 0,8873.536074371168,7893.576817895435,1262.0609332887743,SE,1.0
SI0 0,2883.5357645509694,1621.7958026300782,1094.9268484454462,SI,1.0
SK0 0,5426.916561341491,3183.3035340304173,2200.7507725440214,SK,1.0
